N,Instructions,Cycles,IPC,L1_dcache_loads,L1_dcache_misses,L1_miss_rate
256,88339318,19761423,4.470291,38928205,230367,.591700
512,692381169,162141805,4.270219,308486652,2953415,.957300
1024,5501699730,1411956505,3.896507,2460731377,24620828,1.000500
2048,43881060286,13144191157,3.338437,19660907418,269646118,1.371400
