N,Instructions,Cycles,IPC,L1_dcache_loads,L1_dcache_misses,L1_miss_rate
256,137758770,40231944,3.424114,51004911,2065110,4.048800
512,1085426559,349120706,3.109029,404778774,21099084,5.212400
1024,8638722142,3816251688,2.263666,3230276569,1078916990,33.400100
2048,68986001315,51204849303,1.347255,25823162241,10888472604,42.165500
